timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1551218763,54.171.246.102,192.168.1.2,443,49213,1,235,641,0,0,0
1551218766,192.168.1.2,54.171.246.102,49213,443,2,64,87,49.5,7684,0
1551218766,52.95.112.20,192.168.1.13,443,40811,2,222,60.5,28.99,3,0
1551218766,52.216.171.187,192.168.1.2,443,65100,3,235,50.33,17.9,63573,87785.89
1551218769,192.168.1.13,34.225.195.31,46821,443,2,64,68.5,23.33,88712,0
1551218769,192.168.1.8,34.249.225.142,47363,443,6,64,227,22.41,51992,7726.62
1551218769,34.249.225.142,192.168.1.8,443,47363,6,237,52,0,43948.4,14226.43
1551218772,87.248.222.204,192.168.1.13,80,46672,4,56,53,0,610915.33,1825.31
1551218772,192.168.1.13,87.248.222.204,46672,80,4,64,52,0,609353,392.38
1551218775,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,608078.5,3598.52
1551218775,52.16.205.202,192.168.1.2,443,65088,2,235,402,494.97,36957,0
1551218775,54.230.199.159,192.168.1.2,80,65104,2,246,219,236.17,12233,0
1551218778,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,609443.75,124.91
1551218778,192.168.1.13,87.248.222.204,46672,80,5,64,52,0,609433.25,734.39
1551218778,192.168.1.14,104.198.46.246,60647,56700,1,64,60,0,0,0
1551218781,192.168.1.14,35.184.172.128,35839,443,16,64,103.94,105.76,53056.6,49888.1
1551218781,192.168.1.4,104.198.46.246,52975,56700,3,64,96.67,49.07,192250,390.32
1551218781,192.168.1.5,104.198.46.246,56590,56700,3,64,96.67,49.07,401292,257.39
1551218784,87.248.222.204,192.168.1.13,80,46672,4,56,53,0,609536.33,298.42
1551218784,17.253.37.206,192.168.1.2,443,65080,4,58,59.75,15.5,2247,3888.45
1551218784,17.253.37.206,192.168.1.2,443,65083,4,58,59.75,15.5,2803,4853.21
1551218787,87.248.222.204,192.168.1.13,80,46672,3,56,53,0,609351.5,531.04
1551218787,192.168.1.14,52.216.161.181,39904,443,1,64,40,0,0,0
1551218787,17.56.48.13,192.168.1.2,443,65086,3,44,52,0,1863,2629.02
1551218790,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,605442,13002.2
1551218790,52.16.205.202,192.168.1.2,443,65099,4,235,59.75,15.5,224.67,384.8
1551218790,52.16.205.202,192.168.1.2,443,65098,4,235,59.75,15.5,494.67,851.59
1551218793,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,613931.25,8934.93
1551218793,52.16.205.202,192.168.1.2,443,65096,4,235,59.75,15.5,2204.67,2075.75
1551218793,52.16.205.202,192.168.1.2,443,65089,1,235,52,0,0,0
1551218822,87.248.222.204,192.168.1.13,80,46672,2,56,53,0,608723,0
1551218822,192.168.1.13,87.248.222.204,46672,80,2,64,52,0,609463,0
1551218825,87.248.222.204,192.168.1.13,80,46672,5,56,53,0,609380.75,135.2
1551218825,54.171.246.102,192.168.1.2,443,49213,2,235,67.5,21.92,1383,0
1551218825,2.16.118.43,192.168.1.2,443,65077,4,58,53.75,20.3,27800.67,45427.91
1551218828,87.248.222.204,192.168.1.13,80,46672,6,56,53,0,604501.6,10340.23
1551218828,104.198.46.246,192.168.1.4,56700,52975,2,52,82.5,60.1,296147,0
1551218828,192.168.1.4,104.198.46.246,52975,56700,2,64,82.5,60.1,191744,0
1551218831,192.168.1.14,35.164.128.138,35017,443,2,64,67.5,21.92,175,0
1551218831,192.168.1.13,87.248.222.204,46672,80,5,64,52,0,609340.25,167.02
1551218831,54.192.197.244,192.168.1.14,80,39181,1,246,40,0,0,0
1551218834,192.168.1.14,216.58.213.106,56483,443,1,64,52,0,0,0
1551218834,216.58.204.8,192.168.1.14,443,59557,1,124,470,0,0,0
1551218834,54.230.198.116,192.168.1.14,443,43994,2,246,67.5,21.92,3440,0
1551218837,192.168.1.14,54.230.198.116,43994,443,1,64,52,0,0,0
1551218837,54.77.208.212,192.168.1.7,8883,58600,1,237,83,0,0,0
1551218837,216.58.206.142,192.168.1.14,443,41836,1,124,40,0,0,0
1551218840,87.248.222.204,192.168.1.13,80,46672,4,56,53,0,609677.67,1751.59
1551218840,192.168.1.13,87.248.222.204,46672,80,4,64,52,0,612976,6280.85
1551218843,192.168.1.2,216.58.213.104,65108,443,9,64,247.22,278.32,6708.12,5274.39
1551218843,54.230.199.211,192.168.1.2,80,65117,3,246,166,190.57,8668.5,7527.15
1551218843,151.101.2.2,192.168.1.2,443,65118,12,55,98.25,68.12,38278.45,95660.17
1551218846,107.23.173.29,192.168.1.2,443,65132,5,238,126.4,119.84,21711.75,43419.5
1551218846,54.239.164.115,192.168.1.2,80,65129,2,246,219.5,236.88,943,0
1551218846,54.230.199.211,192.168.1.2,80,65130,4,246,219,192.83,24659,22635.84
1551218849,87.248.222.204,192.168.1.13,80,46672,6,56,53,0,614840.6,10666.08
