timestamp,src,dest,type,freq,avg_sz,std_sz,avg_del,std_del
1549657874,ffff,ffff,0,13,0,0,245448.17,786.51
1549657877,700a,0,2,12,26,0,245077.18,761.54
1549657877,b88f,1c7c,2,1,26,0,0,0
1549657877,0,5408,1,2,61.5,3.54,8747,0
1549657880,5408,0,2,1,26,0,0,0
1549657880,0,700a,1,1,68,0,0,0
1549657880,1c7c,ffff,3,1,64,0,0,0
1549657883,700a,0,2,12,26,0,267545.45,74116.09
1549657883,70ca,0,2,1,26,0,0,0
1549657883,5408,0,2,1,26,0,0,0
1549657886,700a,0,2,9,26,0,245204.5,537.76
1549657886,ffff,ffff,0,9,0,0,245202.38,983.91
1549657886,1d09,ffff,1,1,125,0,0,0
1549657889,700a,0,2,13,26,0,244770.92,102644.85
1549657889,b88f,1c7c,2,1,26,0,0,0
1549657889,0,700a,1,1,68,0,0,0
1549657892,700a,0,2,9,26,0,306523.25,172842.5
1549657892,ffff,ffff,0,9,0,0,302769,173488.55
1549657892,7c0a,0,2,1,26,0,0,0
1549657895,700a,0,2,8,26,0,385635.29,239316.51
1549657895,70ca,0,2,1,26,0,0,0
1549657895,0,ffff,3,2,64,0,1639,0
1549657898,700a,0,2,10,26,0,298335.56,105543.49
1549657898,0,0,0,1,0,0,0,0
1549657898,0,700a,1,1,68,0,0,0
1549657901,0,ffff,3,3,65,0,294562.5,29612.92
1549657901,ffff,ffff,0,14,0,0,226259.15,60058.78
1549657901,b88f,1c7c,2,1,26,0,0,0
1549657904,700a,0,2,11,26,0,245435.7,1052.37
1549657904,ffff,ffff,0,11,0,0,245308.3,100525.37
1549657904,5408,0,2,1,26,0,0,0
1549657907,700a,0,2,12,26,0,245055,644.46
1549657907,ffff,ffff,0,13,0,0,224530.67,49133.57
1549657907,b88f,1c7c,2,1,26,0,0,0
1549657910,700a,0,2,10,26,0,325722.89,171244.16
1549657910,0,700a,1,1,68,0,0,0
1549657913,700a,0,2,13,26,0,245303,928
1549657913,1c7c,ffff,3,1,64,0,0,0
1549657913,b88f,1c7c,2,1,26,0,0,0
1549657916,700a,0,2,12,26,0,267345,73937.09
1549657916,5408,0,2,2,26,0,1621,0
1549657916,7f0a,0,4,1,26,0,0,0
1549657919,700a,0,2,9,26,0,245266,1038.51
1549657919,0,0,0,1,0,0,0,0
1549657919,0,700a,1,3,72.33,7.51,244257.5,1058.54
1549657922,700a,0,2,13,26,0,245302.75,653.16
1549657922,5408,0,2,1,26,0,0,0
1549657922,0,bc10,1,1,104,0,0,0
1549657925,ffff,ffff,0,14,0,0,238786.54,96389.13
1549657925,b88f,1c7c,2,1,26,0,0,0
1549657925,0,1276,1,1,68,0,0,0
1549657928,700a,0,2,8,26,0,315390.86,184875.08
1549657928,0,ffff,3,2,64,0,480127,0
1549657928,5408,0,2,1,26,0,0,0
1549657931,700a,0,1,1,81,0,0,0
1549657931,1c7c,ffff,3,1,64,0,0,0
1549657931,b88f,1c7c,2,1,26,0,0,0
1549657934,700a,0,2,13,26,0,224739,69794.45
1549657934,ffff,ffff,0,14,0,0,207451.85,76970.17
1549657934,5408,0,2,1,26,0,0,0
1549657937,700a,0,2,12,26,0,223091,73029.71
1549657937,ffff,ffff,0,13,0,0,204396,132541.75
1549657937,b88f,1c7c,2,1,26,0,0,0
1549657940,700a,0,2,12,26,0,266647.09,71058.69
1549657940,5408,0,2,1,26,0,0,0
1549657940,0,700a,1,1,68,0,0,0
1549657943,700a,0,2,13,26,0,245293.75,823.04
1549657943,1c7c,0,3,1,69,0,0,0
1549657943,1c7c,0,1,4,62,3.56,30164,11769.1
1549657946,ffff,ffff,0,14,0,0,226019.62,56957.45
1549657946,700a,0,2,11,26,0,269540.7,77454.92
1549657946,1c7c,ffff,3,1,64,0,0,0
1549657949,700a,0,2,7,26,0,285100.33,96755.78
1549657949,0,0,0,1,0,0,0,0
1549657949,0,700a,1,2,68,0,7878,0
1549657952,700a,0,2,12,26,0,267587.82,74320.65
1549657952,ffff,ffff,0,15,0,0,210247.93,70208.33
1549657952,5408,0,2,1,26,0,0,0
1549657955,700a,0,2,14,26,0,226344.31,67457.31
1549657955,ffff,ffff,0,15,0,0,210179.21,87225.68
1549657955,b88f,1c7c,2,1,26,0,0,0
1549657958,700a,0,2,12,26,0,245191.64,1040.91
1549657958,5408,0,2,4,26,0,2126,715.8
1549657958,0,ffff,3,2,64,0,743450,0
1549657961,700a,0,1,1,81,0,0,0
1549657961,0,700a,1,1,68,0,0,0
1549657961,b88f,1c7c,2,1,26,0,0,0
1549657964,700a,0,2,13,26,0,245251.42,1857.08
1549657964,5408,0,2,1,26,0,0,0
1549657964,1c7c,ffff,3,1,64,0,0,0
1549657967,700a,0,2,13,26,0,245132.75,2478.79
1549657967,ffff,ffff,0,15,0,0,210027.07,82878.7
1549657967,b88f,1c7c,2,1,26,0,0,0
1549657970,700a,0,2,11,26,0,269160,75525.91
1549657970,5408,0,2,1,26,0,0,0
1549657970,0,700a,1,1,68,0,0,0
1549657973,700a,0,2,13,26,0,245167.25,2421.7
1549657973,0,ffff,3,9,64.78,0.44,287299.62,266292.58
1549657973,b88f,1c7c,2,1,26,0,0,0
1549657976,700a,0,2,13,26,0,245313.92,910.76
1549657976,5408,0,2,4,26,0,2211.33,905.57
1549657976,1c7c,ffff,3,1,64,0,0,0
1549657979,700a,0,2,8,26,0,245608.71,141221.31
1549657979,b88f,1c7c,2,1,26,0,0,0
1549657979,0,700a,1,2,74.5,9.19,246020,0
1549657982,700a,0,2,13,26,0,245948.58,3617.76
1549657982,ffff,ffff,0,16,0,0,196758.27,70382.44
1549657982,5408,0,2,1,26,0,0,0
1549657985,700a,0,2,13,26,0,245281.08,776.71
1549657985,ffff,ffff,0,14,0,0,226509.69,47834.16
1549657985,b88f,1c7c,2,1,26,0,0,0
1549657988,700a,0,2,12,26,0,245299,678.98
1549657988,5408,0,2,1,26,0,0,0
1549657988,0,ffff,3,2,64,0,259747,0
1549657991,700a,0,2,11,26,0,244986.1,2603.69
1549657991,1c7c,ffff,1,1,65,0,0,0
1549657991,1c7c,ffff,3,1,64,0,0,0
1549657994,700a,0,2,13,26,0,245239,1733.83
1549657994,ffff,ffff,0,13,0,0,224875.33,62458.16
1549657994,5408,0,2,1,26,0,0,0
1549657997,700a,0,2,13,26,0,244958.5,650.22
1549657997,ffff,ffff,0,14,0,0,226116.31,54824.6
1549657997,b88f,1c7c,2,1,26,0,0,0
1549658000,b88f,0,1,2,68,0,51251,0
1549658000,b88f,0,3,1,71,0,0,0
1549658003,ffff,ffff,0,25,0,0,104370.21,114046.8
1549658003,b88f,1c7c,2,3,26,0,499429,693343.65
1549658006,700a,0,2,10,26,0,272720.22,81230.69
1549658006,0,5408,1,2,61.5,3.54,7601,0
1549658006,1c7c,ffff,3,1,64,0,0,0
1549658009,700a,0,2,11,26,0,268313.7,73504.65
1549658009,5408,0,2,1,26,0,0,0
1549658009,0,700a,1,1,68,0,0,0
1549658012,700a,0,2,11,26,0,269712.3,78073.7
1549658012,ffff,ffff,0,11,0,0,269713.1,136468.03
1549658012,b88f,1c7c,2,1,26,0,0,0
1549658015,700a,0,2,11,26,0,269659.8,137961.25
1549658015,0,ffff,3,1,64,0,0,0
1549658018,700a,0,2,13,26,0,225000.25,69094.07
1549658018,b88f,1c7c,2,1,26,0,0,0
1549658018,5408,0,1,3,68,0,3633.5,890.25
